donor_name,donor_code,donor_sector,donor_country,acronym,funder_ref
Abaseen Foundation UK,gb-chc-1157009,International NGO,,,
act4africa,gb-coh-04276635,International NGO,,,
Action Against Hunger UK,gb-chc-1047501,International NGO,,,
ActionAid International,nl-kvk-27264198,International NGO,,,
AFEW International ,nl-kvk-34148682,International NGO,,,
African Development Bank,afdb,Multilateral,,,
African Population and Health Research Center,us-ein-06-1608361,International NGO,,,
AfriKids,gb-chc-1141028,International NGO,,,
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,xm-dac-6-4,Government,IT,,
Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland,nl-kvk-41207989,International NGO,,,
Amref Flying Doctors,nl-kvk-41150298,National NGO,,,
Amref Health Africa in Ethiopia,et-mfa-0001989741,International NGO,,,
Amref Health Africa Malawi,mw-nbm-r1527,National NGO,,,
Asian Development Bank,asdb-special-funds,Multilateral,,,
Association pour la Promotion de l'Education et de la Formation à l'Etranger ,be-bce_kbo-0415880570,Other Public Sector,,,
Australia,au,Government,AU,,
Bangladesh Nari Progati Sangha,bd-nab-0271,National NGO,,,
BasicNeeds,gb-chc-1079599,International NGO,,,
Belgium,be,Government,BE,,
Bill & Melinda Gates Foundation,bmgf,Foundation,,,
BRAC UK,gb-chc-1115482,International NGO,,,
BRAC UK,gb-coh-1115482,International NGO,,,
Canada,ca,Government,CA,,
Carers Worldwide,gb-chc-1150214,International NGO,,,
Catholic Agency For Overseas Development (CAFOD),gb-chc-285776,International NGO,,,
CDC Group plc,gb-coh-03877777,Other Public Sector,,,
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,be-bce_kbo-0463455904,National NGO,,,
Charity Projects Ltd (Comic Relief),gb-chc-326568,Foundation,,,
CHOICE for Youth and Sexuality,nl-kvk-32108345,International NGO,,,
ColaLife,gb-chc-1142516,National NGO,,,
Cordaid,nl-kvk-41160054,International NGO,,,
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,be-bce_kbo-0462132150,National NGO,,,
Crown Agents Limited,gb-coh-03259922,Private Sector,,,
Cyan International,gb-chc-1129603,International NGO,,,
Damiaanactie / Action Damien,be-bce_kbo-0406694670,National NGO,,,
dance4life,nl-kvk-34197379,International NGO,,,
Denmark - Ministry of Foreign Affairs,xm-dac-3-1,Government,DK,,
Diakonia Sweden,se-on-802017-3517,International NGO,,,
Disability and Development Partners,gb-chc-1046001,International NGO,,,
EMMS International,gb-sc-sc032327,International NGO,,,
European Bank for Reconstruction and Development,xi-iati-ebrd,Multilateral,,,
European Union,eu,Region,,,
Family Aids Caring Trust,zw-pvo-wo1789,National NGO,,,
Feed the Minds,gb-chc-291333,International NGO,,,
Finland,fi,Government,FI,,
Food and Agriculture Organization of the United Nations (FAO),xm-dac-41301,Multilateral,,,
Food for the Hungry UK,gb-chc-328273,International NGO,,,
France,fr,Government,FR,,
Fundación Oriéntame,co-rue-860049972,National NGO,,,
General Global Benefit,General Global Benefit,Country,,,
Germany,de,Government,DE,,
Global Fund,gffatm,Multilateral,,,
Global Health Security Agenda (GHSA) Consortium,ghsa-consortium,Multilateral,,,
Global Health Security Agenda (GHSA) Private Sector Roundtable (PSRT),ghsa-psrt,Public Private Partnership,,,
Global Health Security Agenda (GHSA) Projects,ghsa,Category,,Global Health Security Agenda (GHSA),
Haiti Hospital Appeal,gb-chc-1117528,International NGO,,,
Handicap International,fr-pdr-w691075333,International NGO,,,
Handicap International Belgique,be-bce_kbo-0432235661,National NGO,,,
Health Poverty Action,gb-chc-1837621,International NGO,,,
HealthProm,gb-coh-4887855,International NGO,,,
