donor_name,donor_code,donor_sector,donor_country,acronym,funder_ref,donor_name_original,comments
African Bio-Safety Association (AfBSA),afbsa,International NGO,,,,,New
African Bio-Safety Network of Expertise (ABNE/NEPAD),abne-nepad,Multilateral,,,,,New
African Union,afunion,Multilateral,,,,,New
Biological Weapons Convention Implementation Support Unit (BWC-ISU),bwc-isu,Multilateral,,,,,New
"Chemical and Allied Industries Association (CAIA, South Africa)",caia,Other Public Sector,,,,,New
China Development Bank (CDB),CN,Government,CN,,,,New
European Commission Humanitarian Aid (ECHO),echo,Multilateral,,,,,New
Geneva Centre for Security Policy,gcsp,Foundation,,,,,New
Inter-Parliamentary Union (IPU),ipu,Multilateral,,,,,New
International Maritime Organization (IMO),imo,Multilateral,,,,,New
International Organization for Migration (IOM),iom,Multilateral,,,,,New
Medecins Sans Frontiers (MSF),msf,International NGO,,,,,New
Merck,merck,Private Sector,,,,,New
Missile Technology Control Regime (MTCR),mtcr,Multilateral,,,,,New
Nuclear Threat Initiative (NTI),nti,International NGO,,,,,New
Organisation for the Prohibition of Chemical Weapons (OPCW),opcw,Multilateral,,,,,New
Organization for Security and Co-operation in Europe (OSCE),osce,Multilateral,,,,,New
People's Liberation Army of China,CN,Government,CN,,,,New
Stimson Center,stimson,"Academic, Training and Research",,,,,New
Wellcome Trust,wellcome,Foundation,,,,,New
Wilton Park,wilton,National NGO,,,,,New
World Customs Organization (WCO),wco,Multilateral,,,,,New
Abaseen Foundation UK,gb-chc-1157009,International NGO,,,,Abaseen Foundation UK,
Access to Medicine Foundation,NL-KVK-34185938,Foundation,NL,,atmf,,
act4africa,gb-coh-04276635,International NGO,,,,act4africa,
Action Against Hunger UK,gb-chc-1047501,International NGO,,,,Action Against Hunger UK,
ActionAid International,nl-kvk-27264198,International NGO,,,,ActionAid International,
ActionAid Rwanda,RW-RGB-61-RGB-NGO-2017,National NGO,RW,,aar,,
AFEW International ,nl-kvk-34148682,International NGO,,,,AFEW International ,
Africa,africa,Region,,,,Africa,
