project_name	application_area	core_element	core_capability	funder	funder_type	funder_country	channel	recipient	recipient_type	recipient_country	amount_committed	amount_dispersed	year	data_source	row_id
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Zimbabwe	Public sector	Zimbabwe	323000	323000	2013	GAVI	2034
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Zimbabwe	Public sector	Zimbabwe	190779	191772	2013	GAVI	2033
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Sudan South	Public sector	Sudan South	312826	312826	2015	GAVI	2671
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Burkina Faso	Public sector	Burkina Faso	2461500	2490636	2013	GAVI	1792
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Cameroun	Public sector	Cameroun	1203375	1203375	2015	GAVI	2390
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Kyrgyz Rep	Public sector	Kyrgyz Rep	873311	305398	2015	GAVI	2517
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Benin	Public sector	Benin	1723160	1723160	2012	GAVI	1568
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Togo	Public sector	Togo	219276	219276	2014	GAVI	2283
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Kiribati	Public sector	Kiribati	14000	15742	2015	GAVI	2511
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Cambodia	Public sector	Cambodia	4852686	4852686	2015	GAVI	2377
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Papua NG	Public sector	Papua NG	181000	184836	2015	GAVI	2623
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Sudan, Republic of	Public sector	Sudan, Republic of	631078	631078	2012	GAVI	1728
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Lao PDR	Public sector	Lao PDR	1280000	1693273	2014	GAVI	2166
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Sri Lanka	Public sector	Sri Lanka	1122038	1122038	2015	GAVI	2665
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Sudan, Republic of	Public sector	Sudan, Republic of	5148358	5148358	2013	GAVI	2002
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Nepal	Public sector	Nepal	437731	437731	2014	GAVI	2215
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Mozambique	Public sector	Mozambique	6108792	6108792	2012	GAVI	1685
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Zimbabwe	Public sector	Zimbabwe	120000	120000	2012	GAVI	1763
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Nigeria	Public sector	Nigeria	16745789	16745789	2012	GAVI	1701
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Armenia	Public sector	Armenia	1e+05	1e+05	2013	GAVI	1774
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Burundi	Public sector	Burundi	69717	69717	2012	GAVI	1577
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Djibouti	Public sector	Djibouti	311183	544903	2015	GAVI	2427
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Madagascar	Public sector	Madagascar	1645061	1634665	2015	GAVI	2548
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Bolivia	Public sector	Bolivia	3759419	4363539	2014	GAVI	2057
NA	Infectious disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Sierra Leone	Public sector	Sierra Leone	1073839	1073839	2015	GAVI	2644
NA	Tuberculosis	Respond	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of California, Los Angeles (UCLA)	Academic and other research institutions	United States of America	NA	390894	2015	G-Finder	5546
NA	Infectious disease, other	nonspecific	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Liverpool School of Tropical Medicine (LSTM)	Academic and other research institutions	England	NA	317356	2015	G-Finder	5544
NA	Infectious disease, other	Prevent	Immunization	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Tel Aviv University	Academic and other research institutions	Israel	NA	139390.7	2015	G-Finder	7598
NA	Tuberculosis	Respond	nonspecific	Research Council of Norway	Public sector - Governments	Norway	NA	Oslo University Hospital, Oslo Universitetssykehus HF	Academic and other research institutions	Netherlands	NA	116066.88	2015	G-Finder	4770
NA	Malaria	Respond	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	450457	2015	G-Finder	6698
NA	Malaria	Prevent	Immunization	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	University of Lisbon, Universidade de Lisboa (including the Faculty of Medicine Institute of Molecular Medicine)	Academic and other research institutions	Portugual	NA	334388	2015	G-Finder	7109
NA	Tuberculosis	Prevent	Immunization	Australian Department of Industry	Public sector - Governments	Australia	NA	University of Melbourne	Academic and other research institutions	Austrailia	NA	60173.55	2015	G-Finder	4047
NA	Infectious disease, other	Detect	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	California Institute of Technology	Academic and other research institutions	United States of America	NA	291250	2015	G-Finder	6356
NA	HIV/AIDS	Prevent	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Technical Resources International, Inc. (TRI)	Academic and other research institutions	United States of America	NA	727076	2015	G-Finder	7093
NA	HIV/AIDS	Prevent	Immunization	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Baylor College of Medicine	Academic and other research institutions	United States of America	NA	592984	2015	G-Finder	6664
NA	Tuberculosis	Prevent	Immunization	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Bangor University	Academic and other research institutions	Wales	NA	6567.07	2015	G-Finder	7459
NA	Tuberculosis	unspecified	unspecified	Indian Department of Biotechnology, Ministry of Science and Technology (DBT)	Public sector - Governments	India	NA	International Centre for Genetic Engineering and Biotechnology (ICGEB), India	Academic and other research institutions	India	NA	165286.75	2015	G-Finder	4566
NA	Infectious disease, other	nonspecific	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Johns Hopkins University	Academic and other research institutions	United States of America	NA	397443	2015	G-Finder	5986
NA	Infectious disease, other	Respond	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Adera	Academic and other research institutions	nonspecific	NA	264307.45	2015	G-Finder	7602
NA	Other	Respond	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	London School of Hygiene and Tropical Medicine (LSHTM)	Academic and other research institutions	England	NA	1190135	2015	G-Finder	5454
