GRANTEE	YEAR	ISSUE	PROGRAM	AMOUNT	application_area_notes	core_capability_notes	recipient_country	notes	website
Johns Hopkins University	2017	Enteric Diseases and Diarrhea	Global Health	"$7,044,469 "		infant nutrition		to determine if linear growth can be improved through addition of dietary protein plus treatment of enteropathogens in South Asian infants 	
University of Bristol	2017	Pneumonia	Global Health	"$549,972 "	"Infectious disease, other"	Basic research	nonspecific	to describe the transmission dynamics of SP colonization in 2 year old children who receive nasal influenza vaccines and their contacts 	
Johns Hopkins University	2017	Pneumonia	Global Health	"$333,428 "	"Infectious disease, other"	Immunization	nonspecific	to evaluate benefits of inactivated vaccine as a booster following vaccination with live attenuated influenza vaccine in young children in developing countries 	
Fogarty International Center	2017	Family Health: Family Planning	Global Health	"$76,577 "	nonspecific	Real Time Surveillance	nonspecific	To identify research projects demonstrating how to improve disease surveillance and outbreak control in low-income settings using “Big Data” approaches 	
University of Washington Foundation	2017	Family Health: Family Planning	Global Health	"$1,653,361 "	"Infectious disease, other"	Antimicrobial Resistance (AMR)	nonspecific	"to create globally-comparable estimates of the burden of AMR/DRI for bacteria-antibacterial drug combinations that currently pose the greatest threat to public health, and to provide estimates in an interactive visualization platform to track changes over time. "	
Institute of Tropical Medicine	2017	Neglected and Infectious Diseases	Global Health	"$382,847 "				"to support the delivery of proof-of-concept for the replacement of the current reference test, i.e. the immune trypanolysis test, by an alternative test, the gambiense-iELISA "	
Janssen Pharmaceutica NV	2017	Neglected and Infectious Diseases	Global Health	"$370,971 "	helminth epitopes	diagnostic development	nonspecific	to identify soil transmitted helminth epitopes with diagnostic potential for serological detection of soil transmitted helminth infection 	
Population Services International	2017	HIV	Global Health	"$4,999,972 "			South Africa	"to increase the number of young men in South Africa at high risk of contracting HIV who know their HIV status and, if positive, are utilizing appropriate treatment "	
Virginia Commonwealth University	2017	Family Health: Nutrition	Global Health	"$25,000,000 "	nonspecific	Respond	nonspecific	"to reduce the manufacturing cost and to reduce manufacturing waste for a wide range of global health drugs either in market or in development, thus improving patient access and improving security of supply "	
Emerging Ag Inc.	2017	Malaria	Global Health	"$1,603,405 "	nonspecific	nonspecific	nonspecific	"to increase awareness, understanding and acceptance of possible gene drive applications for public good purposes "	
Murdoch Childrens Research Institute	2017	Pneumonia	Global Health	"$253,700 "					
PATH	2017	Global Libraries	Global Development	"$15,000,000 "					
University of Virginia	2017	Enteric Diseases and Diarrhea	Global Health	"$309,998 "					
